true_label,gitlab.com,goat.com,grammarly.com,gravatar.com,huanqiu.com,huawei.com,hubspot.com,huya.com,ibm.com,icloud.com,ieee.org,instagram.com,iqiyi.com,jb51.net,jd.com,kugou.com,leetcode-cn.com,media.net,mi.com,microsoft.com,mozilla.org,msn.com,notion.so,nvidia.com,onlinedown.net,oracle.com
gitlab.com,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,1
goat.com,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
grammarly.com,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
gravatar.com,0,0,4,4,2,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0
huanqiu.com,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
huawei.com,0,1,2,1,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1
hubspot.com,2,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,3,2,4,0,1,0
huya.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,0,0
ibm.com,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
icloud.com,0,0,1,2,0,2,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ieee.org,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
instagram.com,0,0,0,0,4,1,0,0,0,0,0,6,1,0,0,1,1,0,0,0,0,0,4,0,0,3
iqiyi.com,0,2,0,0,8,0,0,0,0,0,0,1,3,0,0,5,0,0,0,0,4,1,0,0,0,0
jb51.net,0,0,2,2,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
jd.com,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kugou.com,1,0,1,1,6,1,0,0,0,6,0,0,3,0,0,6,0,0,0,0,2,0,1,0,0,1
leetcode-cn.com,0,1,1,0,4,1,0,0,0,0,0,0,2,0,0,1,6,0,0,0,1,0,0,0,1,0
media.net,0,0,0,0,3,0,1,0,0,0,4,4,1,0,0,0,2,1,0,0,0,13,0,0,0,4
mi.com,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
microsoft.com,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0
mozilla.org,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0
msn.com,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1
notion.so,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,12,0,0,0
nvidia.com,0,0,0,0,3,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,3,4,2,0,1,2
onlinedown.net,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0
oracle.com,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,2
